epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7797,2.87038,5.54071,2.49755,0.00104,0.08845,0.00079,0.00022,2.43127,5.47111,2.27093,0.00028339,0.00028339,0.00028339
2,54.6778,2.36956,4.89661,2.1505,0.00191,0.14621,0.00277,0.00083,2.24147,4.92507,1.99022,0.000577674,0.000577674,0.000577674
3,92.8968,2.30504,4.46734,1.96832,0.00265,0.22351,0.00387,0.00132,2.11877,4.62885,1.79871,0.000866017,0.000866017,0.000866017
4,138.176,2.26506,4.02167,1.83136,0.00627,0.43138,0.05228,0.01661,1.88807,4.24716,1.64906,0.00114842,0.00114842,0.00114842
5,230.336,2.05857,3.70802,1.67985,0.68066,0.06529,0.08183,0.02862,2.10474,4.17014,1.71083,0.00142488,0.00142488,0.00142488
6,298.281,2.1218,3.58366,1.67802,0.65381,0.12102,0.09858,0.03734,1.93126,3.87454,1.60758,0.00158448,0.00158448,0.00158448
7,363.564,2.04419,3.53443,1.65719,0.68744,0.11943,0.12263,0.05546,1.89052,3.64396,1.61082,0.00156798,0.00156798,0.00156798
