epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4542,2.72602,5.24794,2.33624,0.00107,0.09389,0.00085,0.0003,2.28355,5.22603,2.10988,0.00026672,0.00026672,0.00026672
2,44.9434,2.28331,4.72768,2.00527,0.00108,0.07582,0.00182,0.00061,2.08834,4.94035,1.94264,0.000539218,0.000539218,0.000539218
3,70.2185,2.06439,4.26433,1.8296,0.00283,0.17978,0.04256,0.01682,1.86859,4.40714,1.67103,0.000800493,0.000800493,0.000800493
4,100.44,1.99718,4.42872,1.69663,0.00536,0.31831,0.10936,0.04383,1.82311,4.31445,1.62192,0.00105055,0.00105055,0.00105055
5,130.065,2.01493,3.81094,1.64729,0.8983,0.03233,0.12143,0.0443,1.80547,4.24125,1.62587,0.00128938,0.00128938,0.00128938
6,164.522,1.92331,3.71021,1.56651,0.6951,0.1605,0.16207,0.06159,1.90473,3.64565,1.57249,0.00150197,0.00150197,0.00150197
7,218.014,2.07215,3.61346,1.63654,0.73369,0.14356,0.15625,0.06379,1.84436,3.45427,1.55329,0.00146896,0.00146896,0.00146896
8,284.634,1.83909,3.39122,1.48007,0.68586,0.16598,0.15783,0.06376,1.81226,3.23949,1.56148,0.00143595,0.00143595,0.00143595
9,347.294,1.91168,3.16368,1.55042,0.7235,0.14139,0.14091,0.05815,1.79837,3.45523,1.56056,0.00140295,0.00140295,0.00140295
10,441.1,1.82782,3.27218,1.5645,0.73272,0.15182,0.14672,0.06478,1.79954,3.07508,1.55857,0.00136994,0.00136994,0.00136994
11,512.363,1.80016,3.09865,1.53713,0.75131,0.21617,0.20634,0.08254,1.82501,2.88541,1.55416,0.00133693,0.00133693,0.00133693
12,596.57,1.75589,3.04096,1.44659,0.73371,0.17524,0.15376,0.06475,1.79232,3.0438,1.53534,0.00130393,0.00130393,0.00130393
13,677.937,1.79638,2.85864,1.46057,0.6972,0.21947,0.17159,0.07822,1.73088,2.86803,1.48097,0.00127092,0.00127092,0.00127092
14,763.299,1.75159,2.77691,1.42323,0.77576,0.22728,0.2174,0.10295,1.69704,2.61474,1.4423,0.00123791,0.00123791,0.00123791
15,860.729,1.70308,2.78276,1.38563,0.7955,0.17492,0.18812,0.09218,1.65704,2.57449,1.41365,0.00120491,0.00120491,0.00120491
16,939.993,1.70283,2.60629,1.41333,0.76263,0.18258,0.17907,0.08857,1.6219,2.46496,1.39228,0.0011719,0.0011719,0.0011719
17,1022.88,1.63498,2.66019,1.39206,0.82086,0.17162,0.18253,0.09262,1.59629,2.4699,1.37728,0.00113889,0.00113889,0.00113889
18,1103.21,1.61176,2.55856,1.39517,0.81873,0.16997,0.18026,0.09061,1.60818,2.41958,1.38288,0.00110589,0.00110589,0.00110589
19,1191.24,1.6289,2.39978,1.3684,0.75863,0.21782,0.20622,0.10444,1.60788,2.40593,1.38047,0.00107288,0.00107288,0.00107288
20,1301.67,1.61637,2.42193,1.38779,0.81348,0.16832,0.17735,0.0938,1.59155,2.33456,1.37808,0.00103987,0.00103987,0.00103987
21,1399.23,1.60605,2.24918,1.37854,0.84481,0.16502,0.17565,0.09316,1.57091,2.29645,1.36571,0.00100687,0.00100687,0.00100687
22,1491.94,1.63151,2.177,1.35587,0.87442,0.18812,0.20009,0.10635,1.51969,2.21753,1.32057,0.000973861,0.000973861,0.000973861
23,1595.66,1.63444,2.33194,1.35666,0.81933,0.14686,0.15058,0.08067,1.5072,2.22171,1.31145,0.000940855,0.000940855,0.000940855
24,1689,1.58369,2.11121,1.31555,0.81796,0.19142,0.19378,0.10805,1.49872,2.19389,1.30981,0.000907848,0.000907848,0.000907848
25,1784.75,1.61574,2.24944,1.32252,0.82349,0.17541,0.17644,0.09969,1.4981,2.16154,1.31723,0.000874842,0.000874842,0.000874842
26,1896.96,1.60208,2.37273,1.34509,0.85851,0.16172,0.16924,0.09155,1.48766,2.0656,1.31398,0.000841835,0.000841835,0.000841835
27,2009.68,1.53978,2.21384,1.33321,0.84944,0.18317,0.19536,0.10919,1.46157,1.9953,1.30371,0.000808828,0.000808828,0.000808828
