epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1168,2.78445,5.33305,2.42962,0.00138,0.10596,0.00181,0.00059,2.38149,5.33879,2.18219,0.00028339,0.00028339,0.00028339
2,73.3069,2.27966,4.57595,2.06735,0.00202,0.16893,0.00627,0.002,2.12813,4.83673,1.86631,0.00057623,0.00057623,0.00057623
3,114.329,2.10619,4.16115,1.80634,0.00311,0.33555,0.00817,0.00294,2.03229,4.51275,1.73923,0.000861643,0.000861643,0.000861643
4,164.11,2.00659,3.89761,1.68425,0.60165,0.03344,0.03935,0.01193,1.91695,4.28231,1.61812,0.00113963,0.00113963,0.00113963
5,209.967,1.88385,3.89433,1.59103,0.60253,0.10669,0.06217,0.01849,2.04119,4.26286,1.78087,0.00141019,0.00141019,0.00141019
6,267.765,1.94305,3.67379,1.61852,0.19316,0.09554,0.09856,0.03693,1.88966,3.97116,1.69245,0.00156385,0.00156385,0.00156385
7,325.72,1.95083,3.44061,1.60022,0.70478,0.09713,0.10543,0.03949,1.86603,3.85234,1.6782,0.00154323,0.00154323,0.00154323
8,391.749,1.99372,3.49106,1.64689,0.6653,0.1465,0.12225,0.04325,1.94082,3.6076,1.7442,0.0015226,0.0015226,0.0015226
9,450.866,1.83208,3.18536,1.53725,0.71325,0.16242,0.14735,0.05701,1.92933,3.52534,1.72583,0.00150197,0.00150197,0.00150197
10,516.476,1.80506,3.24193,1.53261,0.71354,0.1672,0.15141,0.06072,1.83567,3.2339,1.65334,0.00148134,0.00148134,0.00148134
11,583.593,1.85249,2.94421,1.55857,0.70855,0.18345,0.15846,0.06741,1.73267,3.56422,1.5393,0.00146071,0.00146071,0.00146071
12,661.786,1.77034,2.9622,1.53786,0.24873,0.17357,0.16954,0.07444,1.75497,3.19323,1.55441,0.00144008,0.00144008,0.00144008
13,726.475,1.75008,2.82138,1.49816,0.23846,0.18584,0.16313,0.06977,1.78541,3.18369,1.54875,0.00141945,0.00141945,0.00141945
14,809.179,1.69668,2.97236,1.42993,0.72569,0.12261,0.10181,0.04546,1.76981,2.78264,1.50987,0.00139882,0.00139882,0.00139882
15,908.207,1.74693,2.69545,1.44085,0.72636,0.1258,0.12588,0.04952,1.7656,2.82674,1.51946,0.00137819,0.00137819,0.00137819
16,992.204,1.78254,2.78031,1.51107,0.7364,0.15924,0.15072,0.0619,1.74891,3.16555,1.52784,0.00135756,0.00135756,0.00135756
17,1077.66,1.68756,2.70345,1.46954,0.79067,0.18949,0.19038,0.08284,1.7141,2.73916,1.49101,0.00133693,0.00133693,0.00133693
