epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2972,2.72602,5.24794,2.33624,0.00107,0.09389,0.00085,0.0003,2.28355,5.22603,2.10988,0.00026672,0.00026672,0.00026672
2,46.6461,2.28331,4.72768,2.00527,0.00108,0.07582,0.00182,0.00061,2.08834,4.94035,1.94264,0.000539218,0.000539218,0.000539218
3,69.1492,2.06439,4.26433,1.8296,0.00283,0.17978,0.04256,0.01682,1.86859,4.40714,1.67103,0.000800493,0.000800493,0.000800493
4,94.5529,1.99718,4.42872,1.69663,0.00536,0.31831,0.10936,0.04383,1.82311,4.31445,1.62192,0.00105055,0.00105055,0.00105055
5,123.537,2.01493,3.81094,1.64729,0.8983,0.03233,0.12143,0.0443,1.80547,4.24125,1.62587,0.00128938,0.00128938,0.00128938
6,152.202,1.92331,3.71021,1.56651,0.6951,0.1605,0.16207,0.06159,1.90473,3.64565,1.57249,0.00150197,0.00150197,0.00150197
7,188.53,2.07215,3.61346,1.63654,0.74493,0.16832,0.18277,0.07482,1.84436,3.45427,1.55329,0.00146896,0.00146896,0.00146896
8,225.714,1.83909,3.39122,1.48007,0.69974,0.20132,0.1931,0.07788,1.81226,3.23949,1.56148,0.00143595,0.00143595,0.00143595
9,262.275,1.91168,3.16368,1.55042,0.71745,0.18482,0.17602,0.07421,1.79837,3.45523,1.56056,0.00140295,0.00140295,0.00140295
10,305.889,1.82782,3.27218,1.5645,0.73705,0.22167,0.22185,0.09378,1.79953,3.07507,1.55857,0.00136994,0.00136994,0.00136994
11,347.718,1.80015,3.09865,1.53713,0.79897,0.22112,0.25246,0.09888,1.8252,2.88542,1.55434,0.00133693,0.00133693,0.00133693
12,390.197,1.75609,3.04056,1.44662,0.72756,0.24811,0.2035,0.08477,1.79238,3.0436,1.53518,0.00130393,0.00130393,0.00130393
13,432.174,1.79629,2.85884,1.46059,0.72417,0.26898,0.23962,0.10738,1.73077,2.8685,1.48116,0.00127092,0.00127092,0.00127092
14,479.655,1.75115,2.77726,1.42304,0.81412,0.27063,0.29405,0.1381,1.69766,2.61504,1.44256,0.00123791,0.00123791,0.00123791
15,527.347,1.70344,2.78057,1.38519,0.81395,0.27063,0.29213,0.14239,1.65784,2.57492,1.41382,0.00120491,0.00120491,0.00120491
16,574.6,1.70195,2.6054,1.41337,0.86378,0.26073,0.29669,0.14887,1.62167,2.46869,1.39276,0.0011719,0.0011719,0.0011719
17,624.582,1.63254,2.66177,1.39088,0.84747,0.31188,0.33458,0.16957,1.59869,2.47169,1.38228,0.00113889,0.00113889,0.00113889
18,678.309,1.60908,2.5605,1.39298,0.8292,0.30033,0.32287,0.15979,1.6102,2.42397,1.38567,0.00110589,0.00110589,0.00110589
19,729.637,1.63377,2.40265,1.37717,0.81152,0.23927,0.26021,0.13077,1.60329,2.40748,1.37824,0.00107288,0.00107288,0.00107288
20,787.608,1.62062,2.44257,1.39763,0.83583,0.22772,0.24087,0.12725,1.59779,2.33016,1.3809,0.00103987,0.00103987,0.00103987
21,837.007,1.61832,2.24887,1.38644,0.87849,0.27723,0.3006,0.15596,1.58069,2.29819,1.36635,0.00100687,0.00100687,0.00100687
22,894.676,1.62861,2.17934,1.34964,0.88471,0.29868,0.31223,0.15968,1.54096,2.23054,1.32799,0.000973861,0.000973861,0.000973861
23,952.456,1.641,2.35075,1.35642,0.84462,0.24917,0.26353,0.14189,1.51027,2.24029,1.31654,0.000940855,0.000940855,0.000940855
24,1006.47,1.57965,2.12212,1.30868,0.85596,0.25248,0.28018,0.1561,1.49314,2.22535,1.31254,0.000907848,0.000907848,0.000907848
25,1062.31,1.61986,2.27351,1.32366,0.84039,0.26733,0.28803,0.16042,1.50607,2.21324,1.32026,0.000874842,0.000874842,0.000874842
26,1131.14,1.59843,2.40075,1.33592,0.86969,0.26685,0.28992,0.15836,1.50455,2.11675,1.32014,0.000841835,0.000841835,0.000841835
