epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7485,2.82783,6.50597,2.44323,0.00064,0.04545,0.00035,0.0001,2.69637,5.76786,2.25789,0.00012,0.00012,0.00012
2,24.1858,2.79355,5.71767,2.29869,0.00051,0.03636,0.00027,9e-05,2.37426,5.35655,1.97761,0.000254852,0.000254852,0.000254852
3,32.785,2.32809,5.42082,1.9736,0.00064,0.04545,0.00078,0.00034,2.01838,4.96541,1.8137,0.00038416,0.00038416,0.00038416
4,42.3135,2.04741,5.2151,1.69389,0.00051,0.03636,0.00049,0.00021,1.88857,4.96331,1.71445,0.000507924,0.000507924,0.000507924
5,53.9814,2.07183,4.30646,1.69598,0.00077,0.05455,0.00064,0.00019,1.84239,4.7303,1.63784,0.000626144,0.000626144,0.000626144
6,65.1256,2.17405,3.99642,1.7435,0.00103,0.07273,0.00073,0.00022,1.77989,4.55418,1.5208,0.00073882,0.00073882,0.00073882
7,73.704,2.11472,4.87184,1.6539,0.00103,0.07273,0.00073,0.00022,1.77989,4.55418,1.5208,0.000845952,0.000845952,0.000845952
8,84.9353,2.00976,3.96013,1.52625,0.00128,0.09091,0.00087,0.00028,1.71893,4.51647,1.47002,0.00094754,0.00094754,0.00094754
9,95.8925,1.90118,4.15248,1.57523,0.00244,0.17273,0.00238,0.00127,1.68166,4.39549,1.50934,0.00104358,0.00104358,0.00104358
10,104.76,1.97493,3.37688,1.52132,0.00244,0.17273,0.00238,0.00127,1.68166,4.39549,1.50934,0.00113408,0.00113408,0.00113408
11,119.339,1.88891,3.88467,1.52669,0.43915,0.13636,0.13398,0.06739,1.80246,4.12805,1.59859,0.00121904,0.00121904,0.00121904
12,132.112,2.00898,3.20229,1.57028,0.43915,0.13636,0.13398,0.06739,1.80246,4.12805,1.59859,0.00129845,0.00129845,0.00129845
13,151.459,2.05856,4.50556,1.62113,0.39699,0.24545,0.19346,0.08427,1.71802,3.90126,1.55103,0.00137232,0.00137232,0.00137232
14,163.661,1.91086,3.27857,1.48947,0.39699,0.24545,0.19346,0.08427,1.71802,3.90126,1.55103,0.00144064,0.00144064,0.00144064
15,180.452,1.86911,2.99984,1.46267,0.47043,0.22727,0.26758,0.13112,1.63964,3.74651,1.48911,0.0014456,0.0014456,0.0014456
16,191.961,1.88322,3.3935,1.51529,0.47043,0.22727,0.26758,0.13112,1.63964,3.74651,1.48911,0.001406,0.001406,0.001406
17,207.766,1.8208,3.55637,1.47478,0.41811,0.31818,0.36026,0.19103,1.63097,3.47663,1.49922,0.0013664,0.0013664,0.0013664
18,221.123,1.79265,2.74014,1.36591,0.41811,0.31818,0.36026,0.19103,1.63097,3.47663,1.49922,0.0013268,0.0013268,0.0013268
19,238.367,1.76988,3.04194,1.42158,0.41811,0.31818,0.36026,0.19103,1.63097,3.47663,1.49922,0.0012872,0.0012872,0.0012872
20,261.36,1.81013,2.99662,1.45641,0.38129,0.58182,0.48785,0.23944,1.67937,3.20413,1.54994,0.0012476,0.0012476,0.0012476
