epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4423,2.96364,5.93522,2.45047,0.00095,0.05742,0.00051,0.00014,2.55589,5.11745,2.23452,0.0002,0.0002,0.0002
2,38.4925,2.45017,4.57218,2.1149,0.00127,0.07656,0.00142,0.00038,2.25654,4.73244,1.93604,0.000411684,0.000411684,0.000411684
3,52.5166,2.24366,4.15815,1.87063,0.00159,0.09569,0.0018,0.00062,2.25006,4.6351,1.93188,0.000614656,0.000614656,0.000614656
4,68.6687,2.12328,4.00963,1.7731,0.0019,0.11483,0.00347,0.00191,1.98239,4.34536,1.6604,0.000808916,0.000808916,0.000808916
5,85.8689,2.00227,4.28703,1.69543,0.00151,0.09091,0.00397,0.00186,1.95989,4.33938,1.61382,0.000994464,0.000994464,0.000994464
6,103.122,2.05083,3.60403,1.61534,0.02841,0.0622,0.01047,0.0045,1.89105,4.24112,1.5849,0.0011713,0.0011713,0.0011713
7,121.781,1.93449,3.4529,1.53423,0.10463,0.10792,0.03959,0.01153,1.85689,4.02564,1.64377,0.00133942,0.00133942,0.00133942
8,138.808,2.01903,3.34346,1.59297,0.50395,0.20096,0.22507,0.09078,1.93143,3.51756,1.66213,0.00149884,0.00149884,0.00149884
9,153.727,2.00764,3.45591,1.60507,0.50395,0.20096,0.22507,0.09078,1.93143,3.51756,1.66213,0.00164954,0.00164954,0.00164954
10,176.305,1.81799,3.27429,1.4828,0.14984,0.18182,0.07275,0.02752,1.88662,3.50753,1.64009,0.0016436,0.0016436,0.0016436
11,198.313,1.75213,3.08602,1.49169,0.33214,0.35218,0.27075,0.09379,1.95209,3.14011,1.74446,0.001604,0.001604,0.001604
12,212.816,1.92184,2.93204,1.57303,0.33214,0.35218,0.27075,0.09379,1.95209,3.14011,1.74446,0.0015644,0.0015644,0.0015644
13,232.863,1.87444,2.67383,1.55569,0.45339,0.42105,0.38146,0.15822,1.8087,3.01802,1.61845,0.0015248,0.0015248,0.0015248
14,253.756,1.77532,2.91898,1.46788,0.48935,0.38974,0.37236,0.15272,1.76032,2.96073,1.57721,0.0014852,0.0014852,0.0014852
15,267.962,1.7666,2.6536,1.48468,0.48935,0.38974,0.37236,0.15272,1.76032,2.96073,1.57721,0.0014456,0.0014456,0.0014456
16,289.236,1.76628,2.796,1.45585,0.48178,0.54067,0.46003,0.21018,1.67746,2.63989,1.47777,0.001406,0.001406,0.001406
17,311.906,1.71477,2.73975,1.45311,0.57102,0.58373,0.56896,0.26359,1.68997,2.5149,1.4409,0.0013664,0.0013664,0.0013664
18,334.377,1.75779,2.58222,1.39178,0.59722,0.63636,0.62027,0.28724,1.72456,2.39372,1.43671,0.0013268,0.0013268,0.0013268
19,348.754,1.72594,2.37762,1.40824,0.59722,0.63636,0.62027,0.28724,1.72456,2.39372,1.43671,0.0012872,0.0012872,0.0012872
20,371.102,1.68417,2.69337,1.35894,0.55097,0.59884,0.56549,0.27664,1.68014,2.77344,1.40518,0.0012476,0.0012476,0.0012476
21,394.545,1.76715,2.63123,1.38466,0.57483,0.61455,0.59761,0.28948,1.61822,2.59686,1.35701,0.001208,0.001208,0.001208
22,408.709,1.67724,2.59142,1.34676,0.57483,0.61455,0.59761,0.28948,1.61822,2.59686,1.35701,0.0011684,0.0011684,0.0011684
23,431.3,1.69994,2.44602,1.37376,0.64809,0.5992,0.62977,0.3189,1.58699,2.32298,1.3374,0.0011288,0.0011288,0.0011288
24,457.518,1.53389,2.48918,1.35678,0.36301,0.50716,0.37957,0.18289,1.63893,2.84579,1.40084,0.0010892,0.0010892,0.0010892
25,476.296,1.67292,2.63807,1.35629,0.36301,0.50716,0.37957,0.18289,1.63893,2.84579,1.40084,0.0010496,0.0010496,0.0010496
26,504.578,1.58224,2.26107,1.35647,0.62164,0.44976,0.5419,0.26061,1.62859,2.62062,1.3971,0.00101,0.00101,0.00101
27,531.947,1.61506,2.4768,1.36558,0.64411,0.72249,0.71898,0.38868,1.51307,2.19876,1.34742,0.0009704,0.0009704,0.0009704
28,549.535,1.47938,2.1849,1.35132,0.64411,0.72249,0.71898,0.38868,1.51307,2.19876,1.34742,0.0009308,0.0009308,0.0009308
29,575.203,1.49451,2.20487,1.31891,0.78682,0.71292,0.81755,0.4432,1.49682,2.03156,1.35352,0.0008912,0.0008912,0.0008912
30,602.815,1.59068,2.12947,1.38736,0.73439,0.72727,0.78568,0.40484,1.5223,2.05028,1.37648,0.0008516,0.0008516,0.0008516
31,620.178,1.52991,2.16359,1.33148,0.74066,0.7512,0.80828,0.41778,1.5223,2.05028,1.37648,0.000812,0.000812,0.000812
32,648.008,1.51271,1.95216,1.33081,0.77238,0.78947,0.84033,0.43695,1.51415,1.94364,1.37088,0.0007724,0.0007724,0.0007724
33,675.84,1.48144,2.16091,1.30973,0.8678,0.75383,0.86995,0.47357,1.45795,1.78782,1.32418,0.0007328,0.0007328,0.0007328
34,705.28,1.46458,1.94946,1.28308,0.87829,0.79426,0.87982,0.48972,1.435,1.77567,1.30936,0.0006932,0.0006932,0.0006932
35,722.759,1.45498,2.1069,1.29794,0.87893,0.79904,0.88668,0.49198,1.435,1.77567,1.30936,0.0006536,0.0006536,0.0006536
36,752.24,1.49722,2.06879,1.31177,0.8875,0.79426,0.87723,0.49863,1.41131,1.76921,1.28692,0.000614,0.000614,0.000614
37,783.39,1.43779,1.8359,1.26463,0.85321,0.75087,0.79682,0.45359,1.41346,1.74032,1.28315,0.0005744,0.0005744,0.0005744
38,803.878,1.46506,2.15729,1.34679,0.86701,0.81101,0.88564,0.50169,1.41346,1.74032,1.28315,0.0005348,0.0005348,0.0005348
39,830.598,1.47552,1.78544,1.27084,0.83053,0.78469,0.85555,0.46735,1.47259,1.77228,1.29953,0.0004952,0.0004952,0.0004952
40,861.284,1.51681,1.86523,1.3055,0.90402,0.76614,0.87957,0.47001,1.47356,1.75611,1.29488,0.0004556,0.0004556,0.0004556
41,878.446,1.43758,2.32126,1.26036,0.90402,0.76614,0.87957,0.47001,1.47356,1.75611,1.29488,0.000416,0.000416,0.000416
42,905.313,1.40698,2.1481,1.2408,0.85823,0.81818,0.89958,0.51865,1.41621,1.71845,1.26115,0.0003764,0.0003764,0.0003764
43,930.23,1.42507,2.0746,1.25092,0.88682,0.81818,0.90464,0.54538,1.37398,1.69008,1.24468,0.0003368,0.0003368,0.0003368
44,945.841,1.38451,1.93522,1.22293,0.88682,0.81818,0.90464,0.54538,1.37398,1.69008,1.24468,0.0002972,0.0002972,0.0002972
45,1886.13,1.391,2.11455,1.23617,0.85098,0.63158,0.64656,0.39859,1.36478,1.67233,1.23845,0.0002576,0.0002576,0.0002576
46,1924.44,1.3764,1.90709,1.25251,0.9591,0.76077,0.88785,0.53786,1.35752,1.65127,1.23031,0.000218,0.000218,0.000218
47,1944.38,1.339,1.90781,1.21155,0.95696,0.78469,0.91514,0.55311,1.35752,1.65127,1.23031,0.0001784,0.0001784,0.0001784
48,1973.74,1.30248,1.97012,1.18686,0.94379,0.7799,0.91536,0.55623,1.3574,1.62414,1.22616,0.0001388,0.0001388,0.0001388
49,2005.42,1.35272,2.05222,1.22305,0.93173,0.78947,0.92002,0.56,1.35862,1.60792,1.22559,9.92e-05,9.92e-05,9.92e-05
50,2029.86,1.34404,1.8717,1.24042,0.95574,0.79904,0.92343,0.56103,1.35882,1.59123,1.22542,5.96e-05,5.96e-05,5.96e-05
