epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.838,2.95741,6.32008,2.54333,0.00064,0.04545,0.00034,7e-05,2.60927,5.92612,2.24914,0.00012,0.00012,0.00012
2,18.0559,2.8002,5.86827,2.33622,0.0009,0.06364,0.00052,0.00014,2.30885,5.42568,2.0081,0.000254852,0.000254852,0.000254852
3,26.3899,2.39092,5.56042,2.11307,0.00128,0.09091,0.00082,0.00025,2.06568,5.11384,1.86396,0.00038416,0.00038416,0.00038416
4,34.7842,2.06478,5.16516,1.82764,0.00128,0.09091,0.00088,0.00029,1.93215,5.10962,1.79545,0.000507924,0.000507924,0.000507924
5,43.3076,2.1858,4.46548,1.89452,0.00179,0.12727,0.00135,0.00046,1.89929,4.86742,1.67593,0.000626144,0.000626144,0.000626144
6,52.1782,2.02283,4.07601,1.73685,0.00192,0.13636,0.00205,0.00055,1.87134,4.79042,1.64932,0.00073882,0.00073882,0.00073882
7,59.6515,2.02105,4.98459,1.7123,0.00192,0.13636,0.00205,0.00055,1.87134,4.79042,1.64932,0.000845952,0.000845952,0.000845952
8,70.2989,2.05838,4.03166,1.58672,0.00205,0.14545,0.00188,0.00055,1.89889,4.68212,1.6159,0.00094754,0.00094754,0.00094754
9,80.8237,2.01741,4.1727,1.67708,0.00372,0.26364,0.0042,0.00185,1.82327,4.62834,1.60152,0.00104358,0.00104358,0.00104358
10,88.8365,2.03375,3.44094,1.57094,0.00372,0.26364,0.0042,0.00185,1.82327,4.62834,1.60152,0.00113408,0.00113408,0.00113408
11,99.9936,1.90345,3.88331,1.54864,0.11645,0.04545,0.03157,0.01194,1.89669,4.28966,1.56054,0.00121904,0.00121904,0.00121904
12,108.405,2.03169,3.19037,1.55203,0.11645,0.04545,0.03157,0.01194,1.89669,4.28966,1.56054,0.00129845,0.00129845,0.00129845
13,118.315,1.95255,4.6891,1.55489,0.68897,0.14106,0.25374,0.09786,1.76907,3.91165,1.47085,0.00137232,0.00137232,0.00137232
14,126.811,1.88907,3.3489,1.51692,0.68897,0.14106,0.25374,0.09786,1.76907,3.91165,1.47085,0.00144064,0.00144064,0.00144064
15,138.058,1.93045,3.14092,1.46521,0.07001,0.07273,0.02992,0.01253,1.6683,3.85437,1.41525,0.0014456,0.0014456,0.0014456
16,145.974,1.81393,3.40828,1.48622,0.07001,0.07273,0.02992,0.01253,1.6683,3.85437,1.41525,0.001406,0.001406,0.001406
17,156.224,1.92481,4.03883,1.57779,0.59324,0.40909,0.44507,0.19889,1.69965,3.16966,1.46094,0.0013664,0.0013664,0.0013664
18,165.156,1.75824,2.70567,1.38567,0.59324,0.40909,0.44507,0.19889,1.69965,3.16966,1.46094,0.0013268,0.0013268,0.0013268
19,174.475,1.7706,3.23764,1.46431,0.59324,0.40909,0.44507,0.19889,1.69965,3.16966,1.46094,0.0012872,0.0012872,0.0012872
