epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0324,2.72602,5.24794,2.33624,0.00107,0.09389,0.00085,0.0003,2.28355,5.22603,2.10988,0.00026672,0.00026672,0.00026672
2,45.5624,2.28331,4.72768,2.00527,0.00108,0.07582,0.00182,0.00061,2.08834,4.94035,1.94264,0.000539218,0.000539218,0.000539218
3,69.1622,2.06439,4.26433,1.8296,0.00283,0.17978,0.04256,0.01682,1.86859,4.40714,1.67103,0.000800493,0.000800493,0.000800493
4,96.863,1.9979,4.4292,1.69701,0.00536,0.31831,0.10936,0.04383,1.82311,4.31445,1.62192,0.00105055,0.00105055,0.00105055
5,125.923,2.01526,3.81147,1.64521,0.8979,0.03217,0.12144,0.04432,1.80144,4.24147,1.62138,0.00128938,0.00128938,0.00128938
6,153.567,1.9255,3.7055,1.56955,0.69286,0.15024,0.16057,0.06192,1.89467,3.65407,1.55933,0.00150197,0.00150197,0.00150197
7,188.373,2.06846,3.62322,1.62862,0.74535,0.16667,0.18212,0.07454,1.85333,3.44798,1.55711,0.00146896,0.00146896,0.00146896
8,242.103,1.84319,3.39649,1.47613,0.73084,0.11551,0.12731,0.05509,1.83965,3.25552,1.56597,0.00143595,0.00143595,0.00143595
9,283.137,1.92357,3.14611,1.54825,0.69693,0.17584,0.1617,0.0708,1.81102,3.60799,1.56528,0.00140295,0.00140295,0.00140295
10,320.649,1.82203,3.26953,1.55684,0.7224,0.22607,0.21196,0.0856,1.81738,3.13707,1.56309,0.00136994,0.00136994,0.00136994
11,358.605,1.78716,3.08785,1.5219,0.77014,0.22937,0.23711,0.09863,1.83345,2.93583,1.53665,0.00133693,0.00133693,0.00133693
12,397.571,1.74408,3.03789,1.4189,0.65334,0.22772,0.13071,0.05516,1.79182,3.66219,1.50912,0.00130393,0.00130393,0.00130393
13,440.552,1.78937,2.84848,1.45102,0.80197,0.22937,0.25755,0.11577,1.74234,2.78174,1.47172,0.00127092,0.00127092,0.00127092
14,491.274,1.75472,2.79105,1.4203,0.79936,0.27576,0.28441,0.13595,1.70905,2.63638,1.44267,0.00123791,0.00123791,0.00123791
15,542.142,1.68665,2.78399,1.38845,0.82105,0.28878,0.31601,0.15451,1.66614,2.54613,1.42193,0.00120491,0.00120491,0.00120491
16,593.331,1.68298,2.59786,1.39708,0.83623,0.26568,0.29166,0.14447,1.63021,2.46273,1.41627,0.0011719,0.0011719,0.0011719
17,647.75,1.64717,2.65952,1.40393,0.76151,0.24752,0.22519,0.11545,1.61974,2.46617,1.39774,0.00113889,0.00113889,0.00113889
18,700.82,1.62451,2.57696,1.3963,0.80007,0.22937,0.24088,0.12054,1.63749,2.44464,1.39478,0.00110589,0.00110589,0.00110589
19,752.948,1.6554,2.39437,1.38604,0.76986,0.23607,0.22844,0.11955,1.60759,2.35773,1.37016,0.00107288,0.00107288,0.00107288
20,816.298,1.61058,2.44575,1.36443,0.80696,0.19307,0.19479,0.10187,1.58582,2.32097,1.34494,0.00103987,0.00103987,0.00103987
21,882.529,1.59483,2.27527,1.36833,0.81912,0.22937,0.22913,0.11953,1.55898,2.28598,1.32453,0.00100687,0.00100687,0.00100687
22,939.331,1.60412,2.17648,1.33764,0.86242,0.27723,0.28941,0.15483,1.5196,2.16373,1.31447,0.000973861,0.000973861,0.000973861
23,998.025,1.58406,2.33135,1.32285,0.82526,0.28053,0.30334,0.17263,1.50376,2.17282,1.32106,0.000940855,0.000940855,0.000940855
24,1053.56,1.54611,2.12728,1.31649,0.83673,0.25413,0.28624,0.15863,1.52028,2.17704,1.33746,0.000907848,0.000907848,0.000907848
25,1109.33,1.59374,2.24687,1.32681,0.89909,0.27393,0.32207,0.17191,1.5213,2.12112,1.33251,0.000874842,0.000874842,0.000874842
26,1431.85,1.59092,2.32439,1.3339,0.88579,0.22277,0.25421,0.13575,1.48099,2.03786,1.31218,0.000841835,0.000841835,0.000841835
27,1522.87,1.49081,2.23628,1.29094,0.90896,0.30392,0.36099,0.19938,1.47685,1.99355,1.31702,0.000808828,0.000808828,0.000808828
28,1591.67,1.49268,2.04372,1.26114,0.90842,0.30174,0.36628,0.2064,1.45706,1.9928,1.31389,0.000775822,0.000775822,0.000775822
29,1678.45,1.52177,1.98058,1.27276,0.8921,0.26898,0.31405,0.17913,1.4354,1.97565,1.30673,0.000742815,0.000742815,0.000742815
30,1749.43,1.42425,1.92083,1.26305,0.89492,0.25428,0.28269,0.15815,1.4291,1.93404,1.30065,0.000709809,0.000709809,0.000709809
31,1841.62,1.4705,1.86579,1.27928,0.90181,0.24311,0.27099,0.14895,1.45606,1.89185,1.309,0.000676802,0.000676802,0.000676802
32,1927.48,1.43565,1.88119,1.25132,0.93003,0.16172,0.18741,0.10526,1.45156,1.84232,1.29733,0.000643795,0.000643795,0.000643795
33,2015.41,1.44843,1.93889,1.24504,0.91618,0.17327,0.20931,0.11993,1.43497,1.80136,1.28332,0.000610789,0.000610789,0.000610789
34,2113.87,1.44831,1.87917,1.27054,0.87042,0.08251,0.08954,0.05532,1.42716,1.77711,1.27737,0.000577782,0.000577782,0.000577782
35,2233.83,1.38829,1.86987,1.25805,0.84112,0.08504,0.09872,0.05701,1.41774,1.73105,1.26862,0.000544776,0.000544776,0.000544776
36,2333.06,1.3886,1.832,1.26455,0.93964,0.16007,0.17671,0.10645,1.39055,1.69123,1.24906,0.000511769,0.000511769,0.000511769
37,2568.31,1.36065,1.87401,1.23417,0.88643,0.09406,0.09984,0.06315,1.35204,1.66286,1.22519,0.000478762,0.000478762,0.000478762
38,2727.59,1.40529,1.79935,1.23235,0.93611,0.15017,0.179,0.1082,1.3338,1.62819,1.21216,0.000445756,0.000445756,0.000445756
39,2887.18,1.39842,1.81042,1.22357,0.88215,0.08746,0.09889,0.06297,1.32438,1.61059,1.20999,0.000412749,0.000412749,0.000412749
40,3016.56,1.46494,1.87361,1.2474,0.89522,0.07096,0.08311,0.04907,1.32393,1.60774,1.21295,0.000379743,0.000379743,0.000379743
41,3128.48,1.38508,1.96475,1.26063,0.9028,0.20515,0.23077,0.13889,1.33406,1.61658,1.21962,0.000346736,0.000346736,0.000346736
42,3214.49,1.38442,2.14253,1.25576,0.87842,0.15512,0.18187,0.10732,1.3397,1.61396,1.22344,0.000313729,0.000313729,0.000313729
43,3288.73,1.37088,2.12477,1.25856,0.91505,0.22607,0.25626,0.15466,1.33311,1.6173,1.21839,0.000280723,0.000280723,0.000280723
44,3370.41,1.36038,1.95638,1.21688,0.94115,0.19792,0.23219,0.15014,1.32324,1.60797,1.21192,0.000247716,0.000247716,0.000247716
45,3465.95,1.33493,2.01324,1.23038,0.89389,0.17162,0.20726,0.13166,1.30413,1.59739,1.199,0.00021471,0.00021471,0.00021471
46,3576.77,1.35673,2.03041,1.2078,0.88972,0.11663,0.13078,0.08457,1.29821,1.58702,1.19115,0.000181703,0.000181703,0.000181703
47,3716.69,1.26415,1.86921,1.21621,0.89521,0.15347,0.16812,0.10776,1.29515,1.56516,1.18733,0.000148696,0.000148696,0.000148696
48,3862.45,1.2806,1.88639,1.19406,0.87085,0.08086,0.08873,0.05916,1.28638,1.54118,1.18143,0.00011569,0.00011569,0.00011569
49,4007.71,1.33559,1.85161,1.23611,0.88196,0.14521,0.15784,0.10236,1.27918,1.52391,1.17725,8.26832e-05,8.26832e-05,8.26832e-05
50,4195.89,1.28485,1.84252,1.17398,0.90091,0.10015,0.11013,0.07478,1.27632,1.5141,1.17638,4.96766e-05,4.96766e-05,4.96766e-05
