epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4936,3.43847,5.39204,2.38964,0.00077,0.05455,0.00041,0.00013,2.8854,4.61635,2.01662,0.00012,0.00012,0.00012
2,34.7121,3.32872,5.11513,2.20256,0.0009,0.06364,0.00049,0.00016,2.77823,4.54303,1.85732,0.00025142,0.00025142,0.00025142
3,39.9284,2.88798,4.47787,1.90371,0.00128,0.09091,0.00072,0.00019,2.60684,4.40759,1.72694,0.0003736,0.0003736,0.0003736
4,45.6595,2.65497,4.2278,1.7988,0.00077,0.05455,0.00042,0.00017,2.55149,4.30563,1.67902,0.00048654,0.00048654,0.00048654
5,51.7928,2.75902,3.86147,1.7264,0.00103,0.07273,0.00056,0.00022,2.25767,4.07495,1.53807,0.00059024,0.00059024,0.00059024
6,57.5453,2.55357,3.54564,1.5709,0.00244,0.17273,0.00155,0.0007,2.19443,3.92934,1.49726,0.0006847,0.0006847,0.0006847
7,61.4882,2.54735,4.04887,1.59393,0.00244,0.17273,0.00155,0.0007,2.19443,3.92934,1.49726,0.00076992,0.00076992,0.00076992
8,69.2773,2.60472,3.82292,1.51113,0.00538,0.38182,0.00413,0.0015,2.16013,3.8292,1.45956,0.0008459,0.0008459,0.0008459
9,76.1497,2.39104,3.80585,1.43696,0.00667,0.47273,0.00569,0.00223,2.12272,3.71318,1.43261,0.00091264,0.00091264,0.00091264
10,80.7095,2.41485,3.37077,1.41417,0.00667,0.47273,0.00569,0.00223,2.12272,3.71318,1.43261,0.00097014,0.00097014,0.00097014
11,89.2524,2.29298,3.34953,1.42761,0.00859,0.60909,0.0082,0.00309,2.09654,3.60937,1.39841,0.0010184,0.0010184,0.0010184
12,94.8463,2.38067,3.08801,1.42671,0.00859,0.60909,0.0082,0.00309,2.09654,3.60937,1.39841,0.00105742,0.00105742,0.00105742
13,104.796,2.35205,3.87998,1.4482,0.01013,0.71818,0.06107,0.0224,2.07545,3.33574,1.39939,0.0010872,0.0010872,0.0010872
14,109.862,2.43984,3.09942,1.41002,0.01013,0.71818,0.06107,0.0224,2.07545,3.33574,1.39939,0.00110774,0.00110774,0.00110774
15,116.397,2.34559,2.8672,1.34281,0.56601,0.17273,0.26058,0.12115,1.88195,2.91494,1.31881,0.001076,0.001076,0.001076
16,121.262,2.22947,3.002,1.45411,0.56601,0.17273,0.26058,0.12115,1.88195,2.91494,1.31881,0.00101,0.00101,0.00101
17,129.792,2.08461,3.14542,1.33743,0.50022,0.26364,0.31145,0.15233,1.78956,2.63809,1.27135,0.000944,0.000944,0.000944
18,135.278,2.19698,2.64603,1.30737,0.50022,0.26364,0.31145,0.15233,1.78956,2.63809,1.27135,0.000878,0.000878,0.000878
19,139.975,2.08311,2.7139,1.32255,0.50022,0.26364,0.31145,0.15233,1.78956,2.63809,1.27135,0.000812,0.000812,0.000812
20,149.231,2.19127,2.77889,1.3368,0.54626,0.31818,0.36051,0.16931,1.84641,2.60766,1.27433,0.000746,0.000746,0.000746
21,153.64,2.12238,3.02965,1.41518,0.54626,0.31818,0.36051,0.16931,1.84641,2.60766,1.27433,0.00068,0.00068,0.00068
22,163.128,2.00862,2.86397,1.29945,0.67213,0.33546,0.41948,0.20514,1.76448,2.53617,1.24174,0.000614,0.000614,0.000614
23,166.987,2.05156,2.76768,1.3456,0.67213,0.33546,0.41948,0.20514,1.76448,2.53617,1.24174,0.000548,0.000548,0.000548
24,175.431,2.05016,2.87267,1.37349,0.69377,0.34545,0.45363,0.22543,1.71729,2.45579,1.2213,0.000482,0.000482,0.000482
25,179.361,1.99935,2.61535,1.35734,0.69377,0.34545,0.45363,0.22543,1.71729,2.45579,1.2213,0.000416,0.000416,0.000416
26,187.226,2.00605,2.81726,1.30173,0.67481,0.37733,0.4755,0.24528,1.68974,2.34841,1.21218,0.00035,0.00035,0.00035
27,191.094,1.91395,2.57373,1.25946,0.67481,0.37733,0.4755,0.24528,1.68974,2.34841,1.21218,0.000284,0.000284,0.000284
28,196.661,1.99043,2.86528,1.33237,0.67481,0.37733,0.4755,0.24528,1.68974,2.34841,1.21218,0.000218,0.000218,0.000218
29,205.374,1.84683,2.55855,1.29017,0.64556,0.41818,0.50021,0.2604,1.68907,2.23709,1.21187,0.000152,0.000152,0.000152
30,209.172,2.00488,2.59932,1.34217,0.64556,0.41818,0.50021,0.2604,1.68907,2.23709,1.21187,8.6e-05,8.6e-05,8.6e-05
